       cpu_cost       |     memory_cost     |    volume_cost    | monthly_cost_type |     namespace      |     node     | usage_start |                                                                                                                                                                                                                                                                   pod_labels
----------------------+---------------------+-------------------+-------------------+--------------------+--------------+-------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   25.200000000000000 |                     |                   |                   | smoke_test         | node-tests   | 2025-07-28  | {"file": "vm_core_cost_per_hour"}
   31.500000000000000 |                     |                   |                   | smoke_test         | node-tests-2 | 2025-07-28  | {"file": "vm_core_cost_per_hour"}
    0.000000000000000 |   0.000000000000000 | 1.612903225806452 | PVC               | smoke_test         | node-tests   | 2025-07-28  | {"metric": "pvc_cost_per_month"}
    0.000000000000000 |   0.000000000000000 | 1.612903225806452 | PVC               | smoke_test         | node-tests-2 | 2025-07-28  | {"metric": "pvc_cost_per_month"}
    1.290322580645160 |                     |                   | OCP_VM_CORE       | smoke_test         | node-tests   | 2025-07-28  | {"metric": "vm_core_cost_per_month"}
    1.612903225806450 |                     |                   | OCP_VM_CORE       | smoke_test         | node-tests-2 | 2025-07-28  | {"metric": "vm_core_cost_per_month"}
   10.500000000000000 |                     |                   |                   | smoke_test         | node-tests   | 2025-07-28  | {"metric": "vm_cost_per_hour"}
   10.500000000000000 |                     |                   |                   | smoke_test         | node-tests-2 | 2025-07-28  | {"metric": "vm_cost_per_hour"}
                      |                     |                   |                   | smoke_test         | node-tests   | 2025-07-28  | {"app": "ratetesting", "vm_kubevirt_io_name": "firstcostmodelvm"}
   14.662756598240469 |   0.000000000000000 | 0.000000000000000 | Cluster           | smoke_test         | node-tests-2 | 2025-07-28  | {"app": "metrictesting", "metric": "cluster_cost_per_month", "vm_kubevirt_io_name": "secondcostmodelvm"}
  162.903225806451613 |   0.000000000000000 | 0.000000000000000 | Node_Core_Month   | smoke_test         | node-tests-2 | 2025-07-28  | {"app": "metrictesting", "metric": "node_core_cost_per_month", "vm_kubevirt_io_name": "secondcostmodelvm"}
   13.440860215053763 |   0.000000000000000 | 0.000000000000000 | Node              | smoke_test         | node-tests-2 | 2025-07-28  | {"app": "metrictesting", "metric": "node_cost_per_month", "vm_kubevirt_io_name": "secondcostmodelvm"}
    0.483870967741935 |   0.000000000000000 | 0.000000000000000 | OCP_VM            | smoke_test         | node-tests-2 | 2025-07-28  | {"app": "metrictesting", "metric": "vm_cost_per_month", "vm_kubevirt_io_name": "secondcostmodelvm"}
   11.730205278592375 |   0.000000000000000 | 0.000000000000000 | Cluster           | smoke_test         | node-tests   | 2025-07-28  | {"app": "ratetesting", "metric": "cluster_cost_per_month", "vm_kubevirt_io_name": "firstcostmodelvm"}
  130.322580645161290 |   0.000000000000000 | 0.000000000000000 | Node_Core_Month   | smoke_test         | node-tests   | 2025-07-28  | {"app": "ratetesting", "metric": "node_core_cost_per_month", "vm_kubevirt_io_name": "firstcostmodelvm"}
   12.903225806451613 |   0.000000000000000 | 0.000000000000000 | Node              | smoke_test         | node-tests   | 2025-07-28  | {"app": "ratetesting", "metric": "node_cost_per_month", "vm_kubevirt_io_name": "firstcostmodelvm"}
    0.483870967741935 |   0.000000000000000 | 0.000000000000000 | OCP_VM            | smoke_test         | node-tests   | 2025-07-28  | {"app": "ratetesting", "metric": "vm_cost_per_month", "vm_kubevirt_io_name": "firstcostmodelvm"}
  423.818181818181818 | 966.000000000000000 | 0.000000000000000 |                   | smoke_test         | node-tests-2 | 2025-07-28  | {"app": "metrictesting", "vm_kubevirt_io_name": "secondcostmodelvm", "cpu_core_usage_per_hour": "1.0000000000", "node_core_cost_per_hour": 0, "memory_gb_usage_per_hour": "1.0000000000", "cpu_core_request_per_hour": "1.0000000000", "cluster_core_cost_per_hour": "1.3000000000", "memory_gb_request_per_hour": "1.0000000000", "storage_gb_usage_per_month": "10.0000000000", "storage_gb_request_per_month": "10.0000000000", "cpu_core_effective_usage_per_hour": "1.0000000000", "memory_gb_effective_usage_per_hour": "10.0000000000"}
